,Activity Type,Date,Title,Distance,Calories,Time taken,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Time,Temp,Shoes
0,Running,2018-05-29,Baltimore Running,4.02,314,29.533,150,173,170,178,7.35,6.267,197,204,1.29,4.493,5,18:53:00,21.2,Nike React Infinity Run Flyknit
1,Running,2018-05-30,Baltimore Running,4.15,383,30.467,147,164,168,176,7.333,5.9,180,177,1.3,1.607,5,18:30:00,16.79,Nike React Infinity Run Flyknit
2,Running,2018-05-31,Baltimore Running,5.98,566,45.283,149,175,168,246,7.567,6.083,322,322,1.27,2.58,6,18:37:00,22.62,Nike React Infinity Run Flyknit
3,Running,2018-06-01,Baltimore Running,6.03,575,42.4,159,175,170,180,7.033,5.65,382,387,1.35,1.005,7,18:37:00,5.97,Nike Pegasus 37
4,Running,2018-06-03,Baltimore Running,7.96,808,55.55,170,184,170,182,6.983,4.567,669,679,1.35,1.182,8,18:09:00,5,Nike React Infinity Run Flyknit
5,Running,2018-06-04,Baltimore Running,6.03,523,42.317,150,168,170,182,7.017,6.033,555,545,1.35,0.445,7,18:41:00,8.55,Hoka One One Elevon 2
6,Running,2018-06-05,Baltimore Running,5.2,439,36.783,146,163,170,180,7.083,5.65,302,297,1.33,4.121,6,18:36:00,6.08,Nike React Infinity Run Flyknit
7,Running,2018-06-07,Baltimore Running,6,553,46.117,143,163,168,178,7.683,6.667,492,495,1.24,4.501,7,18:16:00,7.77,Hoka One One Elevon 2
8,Running,2018-06-08,Baltimore Running,7,673,49.3,159,177,172,182,7.05,5.9,701,710,1.33,0.838,8,18:15:00,9.63,Nike React Infinity Run Flyknit
9,Running,2018-06-09,Baltimore Running,6.99,648,47.933,159,186,174,182,6.85,5.683,419,421,1.34,0.13,7,15:50:00,2.66,Nike React Infinity Run Flyknit
10,Running,2018-06-11,Baltimore Running,6.46,548,44.55,148,171,172,182,6.9,5.867,449,444,1.36,3.916,7,18:28:00,2.12,Adidas Ultra Boost 20
11,Running,2018-06-12,Baltimore Running,7.96,613,51.933,149,170,176,186,6.517,5.567,440,447,1.4,0.71,8,18:44:00,4.65,Nike React Infinity Run Flyknit
12,Running,2018-06-13,Baltimore Running,8.49,869,60.633,163,183,172,182,7.15,4.783,872,827,1.31,3.582,9,18:16:00,10.35,Nike Pegasus 37
13,Running,2018-06-14,Baltimore Running,8,718,58.283,147,170,170,182,7.283,5.833,398,396,1.29,1.698,8,19:01:00,6.49,Nike React Infinity Run Flyknit
14,Running,2018-06-15,Baltimore Running,7.95,672,57.433,142,160,172,180,7.217,5.9,325,328,1.29,3.419,8,18:38:00,9.72,Hoka One One Elevon 2
